Load,Parallelism,BudgetRatio
1.0,1.0,1.0
0.010416666666666666,0.96875,0.7829751520275284
0.004016064257028112,0.4979919678714859,0.2762903911054637
0.001445086705202312,0.5043352601156069,0.4105050155147799
0.0,0.7488262910798122,1.0
-1,-1,-1
1.0,1.0,1.0
0.010416666666666666,0.96875,0.7829751520275284
0.004016064257028112,0.4979919678714859,0.2762903911054637
0.001182033096926714,0.5011820330969267,0.28562903300666237
0.0,0.5007704160246533,0.4105050155147799
0.0,0.5,0.6220165377043089
0.0,0.5,1.0
-1,-1,-1
1.0,1.0,1.0
0.010416666666666666,0.96875,0.7829751520275284
0.0053475935828877,0.49732620320855614,0.2762903911054637
0.0010030090270812437,0.49949849548645936,0.20928276219946854
0.0,0.5222929936305732,0.2458083221927271
0.0,0.5,0.29562105315182297
0.0,0.5,0.3582905677509375
0.0,0.5008291873963516,0.4546792677607977
0.0,0.5071942446043165,1.0
-1,-1,-1
1.0,1.0,1.0
0.010416666666666666,0.96875,0.7829751520275284
0.0053475935828877,0.49732620320855614,0.2762903911054637
0.001004016064257028,0.5,0.20928276219946854
0.0,0.5435501653803748,0.2977788710580407
0.0,0.5419354838709678,0.5095070864399637
0.0,0.5210355987055016,1.0
-1,-1,-1
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.010416666666666666,0.96875,0.7829751520275284
0.004016064257028112,0.4979919678714859,0.2762903911054637
0.013636363636363636,0.4954545454545455,0.9610686065910606
0.008746355685131196,0.6763848396501457,0.8629288509945994
0.0030706243602865915,0.5015353121801432,0.22018899212983353
0.0,0.5,0.4105050155147799
0.0,0.6666666666666666,1.0
-1,-1,-1
1.0,1.0,1.0
0.010416666666666666,0.96875,0.7829751520275284
1.0,1.0,1.0
1.0,1.0,1.0
0.010416666666666666,0.96875,0.7829751520275284
0.004016064257028112,0.4979919678714859,0.2762903911054637
0.0016181229773462784,0.5016181229773463,0.5421977335992647
0.0,0.5060240963855421,1.0
-1,-1,-1
1.0,1.0,1.0
0.010416666666666666,0.96875,0.7829751520275284
0.004016064257028112,0.4979919678714859,0.2762903911054637
0.0011025358324145535,0.4994487320837927,0.238860378500625
0.0,0.5100671140939598,0.3302834881947503
0.0,0.5,0.4105050155147799
0.0,0.5,0.5421977335992647
0.0,0.5067385444743935,0.8629288509945994
0.0,0.5023923444976076,1.0
-1,-1,-1
1.0,1.0,1.0
0.010416666666666666,0.96875,0.7829751520275284
0.004016064257028112,0.4979919678714859,0.2762903911054637
0.0011947431302270011,0.5005973715651135,0.28562903300666237
0.0,0.5,0.4105050155147799
0.0,0.5,0.7982965281468257
0.0,0.5,1.0
-1,-1,-1
1.0,1.0,1.0
0.010416666666666666,0.96875,0.7829751520275284
0.0053475935828877,0.49732620320855614,0.2762903911054637
0.0010030090270812437,0.49949849548645936,0.20928276219946854
0.0,0.5,0.22018899212983353
0.0,0.5074468085106383,0.23229441482693808
